city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Juba,4.85,31.6,South Sudan,SS,Central Equatoria,primary,525953,525953
Bor,6.2125,31.5608,South Sudan,SS,Jonglei,admin,315351,315351
Wau,7.7,28,South Sudan,SS,Western Bahr el Ghazal,admin,163442,163442
Malakal,9.55,31.65,South Sudan,SS,Upper Nile,admin,147450,147450
Kuacjok,8.31,27.99,South Sudan,SS,Warrap,admin,78111,78111
Aweil,8.78,27.4,South Sudan,SS,Northern Bahr el Ghazal,admin,46705,33537
Yambio,4.565,28.375,South Sudan,SS,Western Equatoria,admin,45685,45685
Rumbek,6.806,29.676,South Sudan,SS,Lakes,admin,32100,32100
Torit,4.4081,32.575,South Sudan,SS,Eastern Equatoria,admin,17957,17957
Bentiu,9.26,29.8,South Sudan,SS,Unity,admin,7781,7781
